제목,요약
복수 법률사무소 [독점], 법의 이름으로 모든 것을 빼앗긴 천재 소년. 아버지를 살해한 악마 양다곤은 테슬라와 어깨를 견주는 글로벌 자동차기업의 회장이 되어 있고... 법으로 빼앗긴 것은 법으로 되찾는다! 변호사가 된 윤해성은 수상한 인물들을 모으기 시작한다. 직원 달랑 두 명의 법률사무소는 한국을 주무르는 거물 양다곤을 무너뜨릴 수 있을까?
캠퍼스 고전 미스터리," “선배, 무서운 이야기 하나 들려 드릴까요?”벚꽃과 청춘이 어우러져, 흐드러지게 만개하던 그 날의 캠퍼스. 위태로운 젊음의 장막 뒤편, 잔잔하게 연주되는 핏빛 전주곡.“아니, 그런 얘긴 흥미없어. 대신 내가 재밌는걸 보여줄게.”***방학을 맞아 강원도 산평의 별장을 찾은 다섯 명의 남녀.그들의 시선을 따라 물들어 번지는 하나의 사건.기묘한 색채로 얼룩진 각.."
돈의 왕 [독점]," 12살의 어느 날,명우는 아버지와 함께 간 증권거래소에서 파도처럼 요동치는 숫자들과 사랑에 빠진다.그 후로 명우는 황홀한 돈의 세상에 뛰어들기로 결심한다.하지만 20살을 갓 넘길 무렵 IMF 외환위기로 증권사 지점장이던 아버지가 죽음을 맞이하고,명우는 그 죽음 뒤에 국제적인 금융마피아의 우두머리 스노우가 있다는 사실을 알게 된다.스노우를 추적하기 위해 명우.."
향단이는 누가 죽였나,"  그 이후, 변학도 대신 제주도로 유배를 가게 된 스물세 살 아들 변도학. 동갑내기 처녀무당 옥단을 '보수주인'으로 만나게 된다. 1년 후, 간신히 유배생활에 적응하여 살아가던 도학은 내림굿 사고 때문에 향단의 영혼과 접신하게 되는데... 향단이는 누가, 왜 죽였을까?  이면의 진실이 우리 앞에 드러난다."
괴담 : 이야기를 말하는 자, 친구의 장례식 때문에 고향으로 돌아온 여래는 마을의 흉가에서 이상한 남자에게 붙잡히게 된다. 그에게서 벗어나기 위해 여래는 오싹한 이야기들을 이어나가야만 하는데...!
