제목,요약
끝정 [독점], “대표님. 저 오늘 집에 가기 싫어요.”26년 인생. 예고 없이 찾아온 뜨거운 밤이었다.“강 대리. 나중에 후회해도 소용없습니다.”가히 완벽하다 할 수 있는 지승후와의 황홀한 하룻밤에 당황하기도 잠시.“강설아 대리. 혹시 첫정이 제일 무섭다는 소리 들어본 적 있습니까?”더 당황스러운 상황이 들이닥쳤다.“처음을 가졌으면 끝까지 책임을 져야 하는 법이죠.”“저..
더 캐슬 [독점]," 대한민국 왕실의 걸작. 전무후무한 귀멸자이자 경복궁의 주인, 세자 이건.그런 그의 눈을 사로잡고 단번에 숨통을 움켜쥔 귀한 눈을 가진 그녀, 조유연.“거짓말이 수준급인 걸 보니, 궁금해. 지금까지 무엇을 보고, 들었는지. 그리고 숨겼는지.”그 선득한 음성에 가슴이 터질 듯이 뛰어댄다. 마치 자각하지 못하는 병을 앓는 것처럼 가슴이 뜨거웠다.“왕실 역사상 처.."
결혼 먼저 해버린 부부 [독점]," “이런 순진한 얼굴로 늘 남자를 유혹했던 건가.”싸늘한 도준의 음성이 태연의 말간 얼굴에 닿았다.“진태연 씨, 내게 숨기고 있는 당신의 진짜 모습이 뭡니까.”결혼하고 바로 미국으로 출국한 도준이 예고도 없이 신혼집으로, 회사로 들이닥쳤다.1년 6개월 만에 만난 도준은 태연을 계속 의심하고 있었고.“도준 씨, 그렇게 궁금하시면 직접 뒷조사해 보시면 되겠네요..."
친구 실격 [삽화본]," ※본 작품에는 고수위 삽화가 수록되어 있으니 이용에 참고 부탁드립니다.해수에겐 우정이라는 단어로는 표현이 부족한 남사친, 십년지기 우진헌이 있다. 가족에게도 감히 말 못 할 아픔과 수치를 서로에게만큼은 털어놓을 수 있었고, 긴 시간 동안 견고하게 쌓아온 관계는 무엇보다 단단하고 생각했다. 그런데 어쩌다가,“이렇게.”여자 보기를 돌처럼 해 온 그 둘도 없는 .."
러브 어페어 [독점]," “나는 내 밑에서 일하는 사람이랑은 연애를 안 하는데....... 잠은 잤네?”이선우를 서유라의 일곱 번째 입주 트레이너로 고용하며서문도가 바란 건 딱 하나였다.하루라도 빨리 그만두어 주는 것.그래서 골치 아픈 서유라를 재활원에 보내버리는 것.반나절, 하루, 일주일.잘 버틴다 싶더니어느 날 밤 여자가 캐모마일 두 잔을 들고 올라온다.나랑 자고 싶어요? 아니면, 잘.."
완벽한 결혼의 정석 [독점]," 남편이 사랑한 건 내가 아니라 내 여동생이었다. 그 사실은 이주를 죽음으로 몰고 갔다. 눈을 감은 순간 두 번째 삶이 주어졌다. 결혼 전으로 돌아온 것이다. 자신을 버린 남편에게 파혼을 선언하고 제게 힘이 되어줄 남자를 물색했다. 그리고 찾았다. 외모, 스펙, 집안 모든 게 완벽한 남자였다. 단 한 가지 첫 만남에 스위트룸 키를 내미는 또라이라는 점만 빼고.."
첫정 [독점]," “밥도 주고 병원도 데려가 주고, 그래서 보답하려고 한번 자 준 건가?너네 동네 사내새끼들이랑 다르게 좀 잘해 주니까 고마워서?”좌천되어 온 시골에서 엮이면 안 되는 여자와 엮였다.가까이하면 탈 나는 존재인 줄 알면서도 눈길이 갔고, 의식했고, 자 버렸다.부모 없고 돈 없고 자존감 없는 안윤아, 그럼에도 환장하게 예쁜 안윤아와.그녀는 태서가 휘두르기 좋은 .."
구원을 바랄지니 [독점]," “결혼을 꼭 해야겠어요?”사랑하는 남자의 화려한 약혼식을 보며 이별을 결심했다.“왜 자꾸 이 결혼을 언급하는지 모르겠군. 너와 상관없는 일이라고 했잖아.”다른 여자와 결혼한 후에도 자신의 애착인형으로 살아가기를 종용하는 그를 이제는 정말 떠나고 싶었다.“힘들면 쉬다 와, 사람 붙여줄게.”이별마저도 허락하지 않는 그에게서 도망치려는 순간.쾅-.사위가 암흑으로.."
아찔한 전남편 [독점]," 첫눈에 반해서 결혼했고, 1년 만에 헤어졌다. 그리고 4년이 흘렀다. 울며불며 매달리는 은설을 매정하게 뿌리치고 떠났던 윤재가 돌아왔다. “다시 시작하자.” 미치셨어요? 누구 마음대로? ‘님’이라는 글자에 점 하나만 찍으면 ‘남’이라고 했던가. 이제 그는 빌어먹을 전남편일 뿐......이어야 하는데 왜 눈치 없는 심장은 자꾸만 두근거리는지. 전남편의 유혹에 넘어가.."
당신만 모르는 사이 [독점]," “나는 말이 안 되는 일도 되게 만드는 남자지. 끝내주잖아, 얼굴이.” 수안이 전남친에게 차인 날 나타난 남자. 그런데, 진짜 끝내주게 생겼다. 외모부터 능력까지. 대체 이 남자에게 부족한 건 뭐지? 승후가 쭉 존경하고 좋아했던 작가를 찾아간 날, 그 작가가 세상에서 제일 게으른 인간이라는 걸 알게 됐다. 그런데...... “안녕하세요. 쫄딱 망한 작가 경수안, .."
"라이, 라이어 (lie, liar) [독점]", “임신입니다.”불임이었던 남편 시율과의 사이에서 기적적으로 아이가 생겼다.그래서.... 이혼을 결심했다.“아이를 가졌어요. 다른 사람의 아이예요. 그러니까 이혼해요.”딱 그 정도만 사랑하니까. 그러니까 도망가 줄게요.아이를 빌미로 평생을 당신에게 질척댈 내 더러운 가족들 다 데리고. 사라져 줄게요.
아내를 잃다," “아이 하나도 못 낳는 쓸모없는 것.”오직 임신을 위해 반복된 무심한 남편과의 관계, 시어머니의 잔인한 언사.지옥 같던 결혼 생활을 끝낸 지 1년이 되어가는 날, 전남편 한무겸.그가 나타났다.“내가 다른 여자랑 잤다고? 너만큼 날 만족시켜주는 여자는 없다는 거 알 텐데.”“고분고분하게 굴어. 하연아.”분명 이랬던 남편이었는데.기억을 잃은 한무겸은 전혀 다른.."
품위있는 계약부부 [독점], 애정 없는 계약 결혼생활 1년. 어쩌다 가족들 앞에서 임신 오해를 받게 된다. 손주를 기다리던 회장님은 지분까지 증여하며 기뻐하고 계약 부부는 이를 수습하려고 하는데....... “이왕 이렇게 된 거 진짜 아이를 낳는 건 어때?” 남편 민후의 엉뚱한 제안에 은조는 가슴이 뛰기 시작한다. 계약이 끝나면 이혼만 남은 계약 부부이기에 남편을 좋아하게 되었다고 속마음은 ..
본능적인 그대 [독점]," 덥수룩한 머리칼에 공부밖에 모르던 어수룩한 남사친 신유진. 어리바리하던 그가 180도 바뀌어서 강희의 심장을 흔들어 놓는다.“친구인 척 네가 다른 남자랑 있는 거 지켜보는 거 더 이상 못 해.” 그렇게 시작된 설레는 첫사랑이 불의의 사고로 유진이 떠나며 강희에게 트라우마를 남겨버린다. 8년 후, 강력계 형사가 된 강희. 일주일째 잠복근무 중인 호텔 라운지에.."
관심의 농도 [선공개]," “나 누나 좋아해요.”평생을 고단수 관종으로 살아온 권태하.배우가 되어 전 국민의 관심을 받을 날만 기다리던 그에게19살 여름, 사랑이 찾아온다.만인의 연인이 되는 삶을 목표로 했던 그는자신의 꿈을 내던져도 좋으니과외 선생님인 한재경의 시선을 독차지하기를 바랐다.하지만 한재경이 소리 소문 없이 사라지면서태하의 첫사랑은 혼자만의 짝사랑으로 끝나고 마는데.11.."
너를 가져야겠어 [선공개][외전포함]," “해명하든지, 변명하든지 할 수 있는 건 다 해 보라고.”자신이 송하정이 아니라는 것을 이미 그는 알고 있었다. 그의 앞에서 하늘은 어깨가 잔뜩 굽었다. “도대체 당신 누구야?” 하늘이 목을 다듬고 나서 용기를 내서 입을 열었다. 이제 더 이상 숨길 수도 없다는 것을 잘 알고 있었다. 이렇게 된 이상 그에게 빌어야 하겠다는 생각이었다. “저는, 송... 하늘이.."
엄마가 되었어요 [독점]," “엄마가 되어주면 안 돼요? 진짜 엄마가 되어 달라는 것도 아니고, 딱 하루만 엄마인 척해 달라는 건데......!”입주 가정교사로 들어왔는데, 남편보다 먼저 아들이 생겨버렸다.돈만 좇아 살아오다가 사랑에 눈을 떠가는 효진과 계략 만렙 뽀시래기 보스 베이비, 승율. 차갑고 무심해 보이는 겉모습 뒤에 애절한 상처를 간직한 싱글 대디 교환이 따뜻한 봄을 찾아가는 가슴.."
홍 의관의 은밀한 비밀 [독점]," 사람의 명줄을 보는 신비한 눈을 가진 천재 의원 홍계동. 하지만 사실 그는 여인이다.어느 날, 부득이한 사정으로 샌님이라 여긴 사내에게 술값을 떠넘기다 딱 걸리고 말았으니.명줄조차 보이지 않는 이 위험한 사내에게 아주 제대로 걸려들었다!“나는 네 병자다. 그러니 네가 끝까지 나를 책임지거라.”그에게 얽혀선 얼떨결에 여인의 몸으로 내의원까지 입성!그런데 샌님.."
맹수 사용 설명서 [독점]," HN기획의 자칭 타칭 진상 전담, 비서실 소속 서유진.어느 날, 갑작스러운 대표의 호출을 받은 그녀는 청천벽력과 같은 소식을 듣게 된다. ""내 동생이 오랜만에 귀국하는데, 3개월만 곁에서 좀 돌봐 주겠어? 그렇게 어려운 일은 아니야. 그냥 사회면에만 안 나오게 해주면 돼. 괜찮아, 걔가 그래도 여자는 안 때려...... 아마."" 그 말에 곧장 도망을 쳤어야.."
"다비, 아찔하게 흐르는 [독점]"," 찻잎 파는 심 다점의 주인 단이, 저주받은 북방 귀신 결을 만나다!단이는 목숨을 구해준 은혜를 갚고자,차가 아니면 아무것도 마시지 못하는 결을 위해 그의 다비(茶婢)가 되고자 한다.문제는 지난 십수 년 간, 그가 국경을 지키며 죽여 온 것이 바로 그녀와 같은 여진족이라는 것.“만일 제가 조선 사람이 아니었다면...... 어찌하셨을 겁니까?”“죽였겠지. 살릴 이유가.."
뜨거운 너라서 [선공개]," “내가 그쪽 유혹하면요? 그럼 넘어와요?” 폭우가 쏟아지던 어느 날,잔인한 현실을 잊기 위해 일탈을 감행한 최다인. “이제부터 알려 줄게요. 최다인 씨 꼬임에 넘어간 남자가 어떻게 되는지.” 다인과 뜨거운 하룻밤을 보낸 뒤흔적 없이 사라진 남자 정지혁. 7년 뒤,호텔 온시함의 사장과타일 업체 대표 이사로서 미팅을 하게 된 두 사람. 상처를 떠안은 다인은 지.."
짙게 파고드는 [선공개]," [나랑, 이런 짓 할 수 있겠어?]“야, 차이서. 지금 병원에 소문이 어떻다는 거 몰라서 그래?”누군가 짙은 악의를 가지고 퍼트린 소문.어떻게든 진실을 밝히기 위해 악착같이 버티고 있던이서 앞에 강무혁이라는 변수가 나타났다.“내가 아무리 개새끼라도 사촌 동생 여자랑 붙어먹는 짓은 좀 그런데.”날 때부터 오만함을 두르고 태어난 것 같은 남자.어디서부터 어디까.."
비서 실세 [독점]," “전무님, 나한테 오지 마요.”사내 첩자로 그의 나락을 바라야 하는 여자, 윤혜원. “당신이 좋은 사람이건 아니건 아무 상관 없어.”모든 사실을 다 알고도 그녀를 놓을 수 없는 남자, 하태범.혜원은 평범하게 살고 싶었지만 더이상 평범할 수 없게 되었다. 하태범의 인생에 발을 들인 이상 이전의 삶으로는 돌아갈 수 없게 된 것이다. “나한테서 벗어나고 싶으면 .."
아내의 의무 [선공개]," 이 결혼의 이유이자 의무는 임신이었다. 남편의 더러운 추문을 덮기 위해 선택된 아내, 채윤.결혼 후, 그녀의 의무는 아이를 낳아 남편 성현의 사내 입지를 견고히 다지고 그의 추락한 이미지를 회복하는 것이었다. 감옥과도 같은 곳에서 벗어나려면, 방법은 단 하나. “나랑 자요.” 그것은 눈속임이었다. “당신이 원하면, 얼마든 관계를 가져도 좋아요.” 개망나니 .."
열애 비서 [선공개]," “잊었어? 넌 내 거라고 했잖아. 내 걸 잃어버렸는데, 어떻게 안 찾아.”비서였던 언니가 누군가의 아이를 배 속에 품은 채 세상에서 사라졌다.그런 언니의 뒤를 이어 KJ유통의 비서가 된 동생 진주아는주인집 둘째 도련님인 허권혁을 상사로 맞이하고.언니와 다르게 살기 위해 그를 절대 사랑하지 않겠다고 다짐하지만결국, 깊은 관계를 맺게 되면서 언니와 똑같은 결말.."
반드시 해피엔딩 [독점]," 쇼윈도 부부의 이혼 당일. 남편의 사고를 목격한 여인, 이연우. 그녀에게 100일의 시간이 다시 찾아온다!되돌아간 과거에서 남편의 운명을 바꾸기 위하여 결혼생활만은 지켜보려는 그녀. 한편, ‘미치겠네...... 왜 이러지?’ 남편 선재는 확 바뀐 아내의 모습에 왠지 정신을 못 차리겠는데....... 두 번째 인생에서야 겨우 시작된 ‘진짜’ 결혼생활. 뒤늦게 썸 타는 부부.."
짜릿한 이혼 [독점]," “소명아, 이혼하자.” 캠퍼스 커플로 만난 첫사랑, 십 년 동안 같이 산 남편 지성에게 어느 날 다른 여자가 생겼다. 나밖에 모르는 남편이 갑자기 내가 지긋지긋하다는데!세상을 다 잃은 고통에 몸부림칠 때 소명의 옆에 나타난 한 남자. SS 물산 건설 부문 대표이사 차 도하. 냉정하고 차가운 이 남자와 자꾸만 마주치는데.......나를 바라보는 이 남자의 눈빛은 뭐.."
그 인턴과 그 팀장의 사정 [선공개]," 로펌 에서 승소율 95%를 자랑하는 파트너 변호사 강민현.비밀스러운 사정으로 인하여 국내 3대 주류회사 중 하나인 의 영업 1팀 인턴으로 들어가게 된다.그곳을 빈틈없이 이끄는 최연소 영업팀장, 고시은.무탈한 직장 생활을 하고 있던 그녀에게 어느 날 골치 아픈 사정이 생기는데.그것은 바로 강민현이라는 거물급 인턴을 모시는 것.가뜩이나 영업.."
또 다른 사랑 [독점][추가 외전]," 전 세계에 호텔을 거느린 J&그룹의 총수. 조프리 휴 존슨.특출한 피지컬에 잘생긴 외모는 기본,명철한 두뇌와 탁월한 리더십으로 J&을 세계 최고의 호텔로 견인한 능력자.모든 걸 다 가진 그에게도 단 하나의 결핍이 있었으니,그건 바로 진심을 나누고 곁을 내어줄 여자가 없다는 것.쉽게 곁을 허락하지 않는 그에게 어느 날 우연처럼 운명인 듯 다가온 여자가 있었다.."
사장님이 미쳤어요 [독점]," 사장님에게 고백받았다.“연애하죠. 결혼을 전제로.”남몰래 그를 짝사랑해왔던 서우의 심장은 쿵 내려앉는데.우리 사장님이 혹시 미친 걸까?“은서우 씨가 날 버리지 않는 이상 헤어질 일은 절대 없을 겁니다.”속사정을 감춘 그의 무한 직진이 시작되고 하루하루 핑크빛 설렘으로 가득한 어느 날, 마침내 서우는 그의 비밀을 알게 된다. “그러니까 사장님, 지금까지 절 .."
본능적인 소유욕 [독점]," 사랑하는 사이였다. 사고로 그가 기억을 잃기 전까지는.......“나 몰라요?”“헛소리 그만하고 이제 좀, 사라져줬으면 하는데.”배우인 그와 비밀연애 중이었기에 그가 기억하지 못하며 이 사랑은 순식간에 증발했다. 자신이 뜨겁게 사랑한 여자인지도 모르고, 그는 잔인하게 부숴버렸다.그렇게 2년 뒤, 두 사람은 촬영장에서 재회하는데.“그냥 가볍게 몇 번 잔 사이니까 신.."
비서 일탈 [독점]," -추이연에게 이승조는 절대 가질 수 없는 남자였다.그에게 원해던 건 오직 하나.‘키스해줘요.’그 말 한마디를 꺼내지 못해서 삼켜야 했던 이연에게 어느 날 승조가 찾아왔다.“도망갈 거면 지금 가.”오만하고 일밖에 모르던 전무님의 직진 본능.후회할지도 몰랐지만, 이연은 눈을 질끈 감았다.“오늘은, 안 갈래요.”출구 따윈 없는 일탈의 밤.그 대가는 추락만 남은 .."
"아마도, 굿모닝 [독점]"," “난 당신이 마음에 듭니다. 결혼합시다.” 뭐라는 거야, 이 망나니 한량이? 차분하던 이영의 표정이 확 구겨졌다. 태송그룹의 차남이자 무늬만 이사인 구교헌은 소문대로 또라이였다. 합작 사업을 위해 처음 만난 자리에서 청혼을 하다니! 그런데 시간이 갈수록 이영은 자꾸만 이상한 생각이 들었다. 세상만사엔 관심 없어 보이던 남자가 사실은 철저한 계략가라면? 거기.."
"이혼은 쉬운데, 연애는 어렵다 [독점]"," 야심이 가득한 K 로펌의 시니어 변호사 기세나.  모든 사람에게 친절한 세나에게 딱 한 명, 절대 친해질 수 없는 남자가 있다. 그는 바로 9년 차 검사 출신, K 로펌의 새로운 파트너 변호사 류강현. ""너를 만나든, 만나는 척을 하든 내게 무슨 득이 있지?""“득이 왜 없어요? K 로펌의 예비 사위라는 타이틀. 꽤 그럴싸하지 않아요?”""걱정해준 건 고마운데.."
각자의 본능대로 [독점]," “이 무대를 오래 유지할 생각은 없어요. 2년 후에 이혼하는 게 내가 구상한 계획이에요.”그 누구보다 넓은 야망을 품은 여자, 강유진. 그녀는 큰아버지의 회사인 신아 식품을 갖기 위해 ‘연애 결혼’을 계획한다.“이틀 줄게요. 그 안에 답해줘요.” 상대는 얼마 전 우연히 만난 남자, 기승현. “하겠습니다, 결혼.”그리고 그 자리에서 유진은 확답을 듣게 된다..."
그녀는 남편의 얼굴을 모른다 [독점]," “정태인 씨, 소보루빵 하나 더 드실래요?”서정은 예의상 권하면서도 태인이 먹을 거라는 생각은 전혀 안 했다.“그러죠.”포크를 버려두고 손으로 소보루빵을 먹는 정태인. 그것도 하나가 아니라 두 개씩이나. 오늘 밤은 정태인이 보통의 남자 사람처럼 보인다. 두 사람이 보통의 부부거나, 친구가 된 것 같다. 망설임과 간절함을 최대한 숨기면서 서정은 태연하게 말했.."
임신 스캔들 [독점]," 대세 여배우 오수희, 임신 스캔들에 휘말렸다!항간에 떠도는 추문에 골머리를 앓던 어느 날, 스튜디오 그린의 대표 한승조가 뜻밖의 물음을 던져온다.“아이 아빠가 누굽니까.”“정말 임신 아니라니까요?”강한 부정에 승조는 확신을 더 하는데.“내가 책임지겠습니다.”“뭐, 뭐요?”“내가 오수희 씨 책임지겠다고 했습니다.”갑자기 이렇게 급발진을 해온다고? 날 책임지겠.."
모르는 남자와 결혼했다," 남자친구가 결혼을 한다. 내가 아닌 내 이복동생과.그가 나를 절벽에서 떨어지게 했다는 사실을 자각했을 때는 이미 늦었다.혼수상태였으니.내가 깨어나길 원하는 사람은 아무도 없었다.“넌 죽었어야 했어.”이 말을 아무렇지도 않게 말하는 사람은 나의 전 남자친구이자, 현재 이복동생의 남편이다. 한때 사랑했던 이는 결국엔 내 목숨을 끊어 놨지만 하늘도 이건 아니라 .."
THE 런웨이 [독점]," 패션지 에디터 유지안. 약혼자의 양다리 소식에 무작정 파리로 떠난다.낯선 도시에서 넋 놓고 있던 지안은, 자신을 소매치기로부터 구해준 남자와 충동적으로 원나잇을 하게 되고. 3개월 후.지안의 회사에 능력치 만렙의 편집장이 프랑스에서 오게 된다. “유지안 씨. 휴대폰 어디 있습니까? 인터넷 창 열고 패션 에디터 검색해.”첫만남에,“네 꼴이 지금 패션 에디터야.."
"키워주세요, 아저씨 [외전 포함]"," 남겨울은 자신의 이름처럼 춥고 차갑고 건조한 겨울이 싫었다. 꼭 싸구려인 제 인생과 닮아 있어서. ***“애인이면 우리가 사귄다는.......”“어. 사귄다고 말하고 다녀.”“하지만 사귀는 건 좀 갑작스러운데요.”“사귀는 척만 하는 거야. 내가 미쳤다고 너랑 사귀어?”그 말을 듣는데 심장이 이상했다. 쿵 떨어지는 것 같기도 하고, 아예 멈춰버린 것 같기도 하고.“.."
양육비 청구연애," “저, 돈 필요해요.”손이 바들바들 떨렸다.“양육비 주셨으면 좋겠어요. 아니, 법적으로 주셔야 하잖아요.”5년 전 날 가졌던 남자, 동시에 무참하게 짓밟아버렸던 그 남자를.내 발로 직접 찾아가게 될 줄은 누가 알았을까.내 앞의 그 남자는, 알 수 없는 눈으로 날 바라볼 뿐이었다.“평생 숨어서 살게요. 저랑 희아 존재, 선배한테.... 그리고 차강그룹에 절대 폐.."
