제목,요약
블랙기업조선," 밀리터리, 스팀펑크 등등 온갖 덕질에 미친 잡덕후가 환생했다.그런데 아버지가 세종대왕?덕질에 능한 군주와 덕질에 미친 아들,그리고 갈려 나가는 대신들과 수많은 인간들.오늘도 조선의 밤은 야근의 불빛이 가득하다."
삼국지에서 살아남기," 빙의했는데 서주 호족 아들이다.아, 그런데 사흘 전에 조숭이 죽었다고?하하하하. 일단 튀자!"
돌싱 후 대마법사, 사랑하던 아내는 쓸모 없어진 내게 이혼을 요청했다. 내 아이가 아니라는 말과 함께.돌싱이 된 나는 각성했다. 대마법사로
약먹는 천재마법사," 이번 버전에서는 또 어떤 컨셉으로 게임해 볼까?극한의 자유도를 자랑하는 게임 'WORLD'.이번 'ver.3.0'에서는 마법 재능에 모든 걸 몰빵한다!모든 스텟은 마법 관련 스텟에 올인!마법 재능을 높여주는 대신, 막대한 디메리트가 걸리는 특성들.“허수아비, 불면증, 마나중독자, 과유불급도 추가하고, 재인박명....... 수명은 상관없겠지.”하지만...... 그래.."
천재 플레이어의 귀환 [독점], 2021 지상최대공모전 수상작!한국 헌터 리그계의 전설 이창현. 회귀하다.
용사가 돌아왔다 [독점], 동료들에게 배신당해 죽었다.이유는 모른다. 내가 되살아난 이유도 모른다.확실한 건 내가 돌아왔다는 사실뿐이다.
악당에게서 살아남는 법 [독점]," 반복적인 일상의 유일한 즐거움이었던 소설 '악당들이 강해지면 벌어지는 일'.눈을 떠보니, 난 소설 속 '이름 없는 암살자'가 되어 있었다.""지금 누구를 암살하러 간다고?""악당들이 판을 치는 소설 속 세상.시작부터 생존률 0%에 가까운 곳에 끌려가게 생겼다."
다른 세계에서 주워왔습니다," 망한 세상이지만, 쓸 만한 게 꽤 많다.취직도 안 되는데 이런 거라도 챙겨가야지.근데, 현실도 심상찮다. ""...여기도 망하나?""그냥 둘 수 없다."
원수의 아들로 태어났다 [독점]," 2021 지상최대공모전 수상작!“재능이 아깝구나. 다음 생에는 네 능력을 제대로 펼칠 수 있는 나라에서 태어나도록.”약소국의 기사단장 카인, 제국에 맞서다 허망하게 죽은 뒤.‘뭐? 내 아버지가 제국의 황제라고?’조국을 멸망시킨 원수의 아들로 다시 태어났다.“이건 멸망한 조국의 원한을 갚으라는 신의 뜻이겠지.’전생의 기억과 재능을 그대로 지닌 채 환생한 그의.."
백작가의 망나니가 되었다," 눈을 떠보니 소설 속이었다.그것도 망나니로 유명한 백작가 도련님 몸으로.하지만,그렇다고 망나니가 될 순 없잖아?"
영웅&마왕&악당 [개정판][독점]," 악당은 꿀 빠는 직업인 줄 알았다.그런데 이거 생각보다 너무 힘들다.영웅과 싸우고, 영웅을 속이고, 영웅을 가르치고, 영웅에게 도망치고....업무 중 영웅과 조우할 확률 99%힘들어서 악당 못 해 먹겠다!평생 악의 조직을 전전하다가, 이제 은퇴해서 편안한 여생을 보내나 했는데....잡일 시키려고 주운 게 마왕이라고?게다가 영웅은 왜 또 찾아와?뭐? 은혜를 갚겠다고.."
