제목,요약
눈 떠보니 과학고 천재 [독점]," 성공을 눈앞에 둔 순간.내 삶을 망쳐왔던 놈에게 살해당했다.분명 그랬을 텐데.“무슨 학교요?”대학 교수 손강우.상온 핵융합 기술의 세계적인 권위자.그랬던 내가 고려 과학고에 입학해야 한다고?이왕 이렇게 된 거, 천재가 어떤 존재인지 보여주겠다.복수를 위한 첫걸음은 거기서부터 시작될 것이다.""화학 점수가 이게 뭐야? 찍어도 이거보단 더 잘 나오겠다.""어라?"
시스템 오류로 에이스 등극 [개정판], 게임 시스템 오류로 에이스로 등극하다.
마신 강림(魔神 降臨), 천마신교의 교주 마신(魔神) 천여운.불의의 사고로 먼 미래로 떨어지게 되었다.게이트(Gate)가 열려 혼란 속에 빠진 미래에서 다시 과거로 돌아가기 위한 그의 분투가 시작된다.
서울역 드루이드 [독점]," 숲의 수호자, 자연의 관찰자이자, 동물들의 왕.드루이드가 되어 홀로 천 년의 시간을 보낸 후.드디어 지구로 귀환했다.""응? 내가 알던 서울이 아닌데.""구원자가 될 것인가, 정복자가 될 것인가."
멸망 이후의 세계 [개정판], 이것은 모두가 과거로 돌아갈 때 마지막까지 회귀하지 않았던 한 사나이의 이야기다.
우리 딸들이 연기를 잘 한다 [독점]," 몰랐던 딸들의 연기 재능.후회했던 자신을 버리고, 이제는 아버지가 직접 키워 준다!"
건축을 그리는 천재 신입사원, 하청 도면이나 그리는 캐드 몽키로 어언 20년.이번에는 실패하지 않는다.
사채왕의 천재손자," “사채업자들이 깡패들보다 더 독해. 돈 받기 위해서는 뭐든 하는 인간들이 우리야.”“그렇지, 사채 하는 놈들이 더 독하지. 제대로 하는 놈이면 말이야. 저런 돼지 두 명 데리고 무게 잡고 있는 너 같은 놈들 말고. 돈이나 받고 꺼져.”전설적인 사채업자의 외손자로 태어나, 암투 끝에 후회뿐인 인생을 남겼다.기적처럼 돌려받은 시간.이번엔 그 무엇도...... 절대 전.."
술 빚어 재벌 되렵니다, 얼떨결에 물려받은 작은할아버지의 양조장.그런데 여기 조금 이상한데?
신인배우가 재벌인걸 숨김, 한 번 닫혔던 배우의 천막이 다시 열어젖혔다. 재벌 그룹의 막내로.
영광의 해일로," 지금 온 힘을 다해야 한다.온 생명을 불살라가면서 빛나야, 낮이 되어도 초라해 보이지 않을 테니.#가수 #천재 #빙의 #회귀X #시스템X"
프리미어 리그의 최연소 감독이 되었다," “저 보고 팀을 지휘하라고요? 저 같은 초짜한테요? 당신들은 대체 상식이 있는겁니까?”“아니, 전체 시즌을 담당하라는건 아니고....”영국 북서쪽 시골에 위치한 프리미어 리그 축구팀의 유소년 감독으로 부임했더니, 1달 만에 구단은 파산하고 감독은 사임했다.구단의 이사진이 급한대로 개막전에서만 퍼스트팀을 지휘해달라고 한다.이거 괜찮은건가?급한대로 팀을 맡은 초짜.."
