제목,요약
목신기 [독점]," *이 작품은 Zhai zhu의 소설 를 한국어로 옮긴 것입니다.해가 지면 ‘어둠’이 찾아와 살아있는 모든 것들의 목숨을 앗아가 버리는 저주받은 땅 ‘연옥’.괴물과 요괴, 살인귀가 들끓는 연옥에 어느 날 갓난애의 울음소리가 울려 퍼진다. 연옥의 ‘폐가촌’에 살던 노인들은 아이를 데려와 자식처럼 키우게 되고, 아이가 성장하는 모습을 보며 점.."
마교 부교주가 사는 법 [독점]," 삶이 협(俠)이었다면 죽어도 좋지 아니한가.사문의 가르침대로 살다 죽었다고 자부하던 시골 소문파의 이름 없는 무사가 마교 부교주의 몸에서 깨어났다.최종병기.인간백정.백도 도살자.살예진천황.백도제일인 사냥꾼이라 불리던 부교주가 이상하다.“부교주님 왜 저러는 거랍니까?”길잡이 한 명에 마부 하나, 그리고 비루먹은 개 한 마리와 함께 천산을 벗어난 그의 행보가 .."
천검지애 [독점]," “제 목숨을 바쳐 아가씨를 보호하겠습니다.”『천하제일 대사형』 북미혼의 귀환!『천검지애』악불군 그리고 담수련, 둘의 인연은,아주 작은 선의(善意)에서 시작되었다죽음으로 충성을 맹세하는 이에게 나타나는, 신의현맥(信義泫脈)의 주인 악불군담수련을 지키기 위한,그의 여정이 이제 시작된다!천하제일 천륭검가의 검공을 잇는,악불군이 세상에 포효하는 순간!더 이상 둘의.."
검존환생 [독점]," 역대 최강의 검존! 소년의 몸으로 환생하다.무림 역사상 역대 최강의 검객 진가보!은퇴를 겸한 그의 칠순 생일날 난입한 젊은 청년.젊은 청년은 자신이 진가보와 그가 과거에 버렸던 여인의 자식임을 밝히며 그를 죽인다.어째서인지 은혜를 갚겠다는 말과 함께....그리고 낯선, 어린 소년의 몸으로 다시 깨어난 진가보.“이것이? 이것이 무슨 일이지? 젠장! 내 몸이... 내.."
절대마신 [개정판]," 강한 자에게는 아주 멋지고 아름답지만 약자에게는 너무도 천박하고, 독하며, 사납고, 추할 뿐인 강호. 그곳을 살아가는 한 사내의 이야기. ""왜 다시 왔어요?"" ""빚지는 게 익숙하지 않아서."" 가졌던 모든 것을 내려놓고 떠날 수밖에 없었던 사내, 이제 철무린의 새로운 강호행이 시작된다."
사제회귀," 제자를 사랑하는 사부! 그런 사부를 존경하는 제자!한날 한시에 목숨을 잃은 사제가, 선대로부터 내려오는 장문령부의 이능에 힘입어 16년 전으로 함께 회귀한다!그리고, 오래전부터 암약하면서 강호는 물론 황궁에까지 손을 뻗치며 세상을 도탄에 빠트리려는 단체의 음모를 분쇄한다!최강 사제의 통쾌한 강호 종횡기!"
반로환동이 너무 과했다," 평생을 사도천의 살수로 살아온 진세휘, 어린아이로 반로환동 해버렸다. 천고의 자질을 품은 육체, 만개한 오성, 살수로서의 경험.모든 걸 이용해서 사도천에게 복수하겠다."
북검전기," 북벽의 후예, 진무원!잊혀가는 북검문을 위해.은밀한 그림자로 시작해 우뚝 선 검이 된다. 거침없이 세상과 싸워 나가는 진짜 남자의 행보.세상 전부가 적이 된다 해도 단 하나를 지키기 위해 싸운다.그것이 진무원의 검이며 진무원의 의지다."
묵향," 무공의 끝을 보고자 했던 인간을 주변은 그냥 두지 않았고, 필연적으로 얽히고설킨 은원의 굴레에서 사상 최악의 악마로 회자되는 묵향, 그러나 그는 ‘위대한 마인’의 길을 걷는 진정한 대인(大人)으로 오롯이 무의 궁극을 추구하는 자이다. 드래곤보다 더 드래곤 같은 인간! 음모에 빠져 무림과 판타지 대륙을 넘나들며 1백 년간의 삶을 살아온 ‘묵향’. 수십 년 만.."
절세전혼 [독점], *이 작품은 極品妖孽의 소설 絶世戰魂(2015)을 한국어로 옮긴 것입니다. (옮긴이: yee studio)폐물 취급을 받는 황급 일품의 무혼이라니!창람대륙 임수성 진씨 가문 무혼 각성의 날.가주의 아들인 진남은 어릴 적부터 무예를 창조하는 등 천재로 가문의 기대를 받고 있다.드디어 모든 사람의 기대를 받고 단에 오른 진남노란빛이 번쩍이고 진남이 무혼을 각성..
전직지존," 무림맹 제일고수이자 무림서열 1위 백소천, 강등되어 무림맹의 한직으로 발령 나다!"
환생무당(還生武當) [독점], 2020 지상최대공모전 수상작!광검마제 진무극. 환생했더니 무당파의 제자가 되었다.
구성패체결 [독점]," *이 작품은 平凡魔術師의 소설 九星霸體訣(2017)을 한국어로 옮긴 것입니다. (옮긴이: yee studio)""난 도대체 누구인 거지? 난 분명 수련도 못 하는 폐물이었는데?""누군가의 계략으로 영근마저 파괴되어 수행을 할 수조차 없었던 용진.이날도 결투에서 몸이 만신창이가 되어 깨어났는데 심오한 경지에 대한 기억들이 그의 머릿속에 담겨있었다.이것은 바로 단.."
암천일성, 이제 놈들이 짜 놓은 판을 뒤집을 차례다!
남궁세가 거지 공자 [독점]," 개방의 용두방주, 남궁세가의 공자님으로 환생하다.“이게 귀공자의 삶인가?”거지의 삶은 이제 그만. 이제부터는 나를 공자님이라 불러라."
흑림의 황제, 조폭 히트맨으로 살아가던 진호충은 마지막 의뢰의 문제로 생의 끝을 마주했다.드럼통 속에 들어가 바다 깊이 빠지며 마지막 숨을 들이킨 순간.“푸후. 허어헙.”상쾌한 공기가 폐로 가득 들어왔다.무림에서 새로운 삶이 시작됐다.
중생지마교교주," *이 작품은 封七月 작가의 소설 拜見教主大人(2017)을 한국어로 옮긴 것입니다. (옮긴이 : 황용, 구서하, 단하)의외의 죽음을 맞이한 임엽(林燁).미처 공개되지 않은 세 번째 버전의 게임 속 최종 보스인 마교교주 초휴(楚休)로 환생하다!무협 세계관이 녹아 있는 게임 속 세계로 차원이동한 그.과연, 산처럼 쌓여 있는 백골을 즈려밟으며 마도천하를 이룩하여 .."
전왕," 모든 것을 잃었다.모든 것의 끝을 보았다.한과 절규가 되어 모든 것을 포기하려던 순간, 시간을 거슬러 과거로 돌아왔다.이젠 가족만을 위해 살리라. “너의 힘으로 강호를... 무림을 구해다오!”“응! 안 구해.”"
무인이곽, 평범한 무인의 위대한 여정!“한번 개의 습성이 물들면 영원히 개로 살 수밖에 없다. 네 안의 늑대를 개로 만들지 마라.”
무신귀환록, 『삼류회귀록』『천도쟁패』『칠룡칠마전』기대를 저버리지 않는 묘수의 여섯 번째 무협!『무신귀환록』세상이 감당하기엔 너무 강했기에봉인되고 만 무극신마 단우현천 년이란 기나긴 세월이 지나봉인에서 풀려났지만허무함에 빠져 뒷골목을 전전하는데......그렇게 세월에 지쳐 쓰러져 있을 때자그마한 손이 그의 눈앞에 나타났다“이건 뭐냐?”“만두!”난생처음 받은 순수한 호의그것이 무..
절세무혼 [독점], - 이 작품은 洛城东의 소설 绝世武魂(2016)을 한국어로 옮긴 것입니다. (옮긴이 : 작은 마녀들)단전이 굳은 채 태어나 무공 수련을 할 수조차 없던 진풍은 종파 내 ‘쓰레기’로 통한다.하지만 죽은 지 5년이 된 사부의 무덤 안에서 우연히 지존의 용혈과 신비로운 세 발 청동 솥을 얻게 되면서 그의 운명은 180도 바뀌게 된다.놀랍도록 빠르게 상승하는 진풍..
