제목,요약
흑막을 너무 잘 길들여버렸다 [독점], 강제로 아이를 구하려다가 차에 치어서 죽은 줄 알았는데 눈을 떠보니 내가 마지막으로 읽었던 책 속에 들어와 있었다.그것도 어릴 때는 부모님에게 얹혀살게 된 흑막을 부모님 몰래 학대하다가 흑막에게 쓱싹 목이 잘리는 역할로!기껏 새 삶을 얻었다고 좋아했더니 이럴 줄은 몰랐다.지금 살 수 있는 방법은 딱 하나였다.아직 흑막이 어리니 잘 구슬리기만 한다면 끔살 루..
복수를 위한 결혼동맹 [독점]," “누구의 씨인지는 중요하지 않아. 중요한 것은 네 태에 자리를 잡았다는 거지.”황제인 남편이 건넨 독에 목숨을 잃고 그가 내지른 칼에 배 속 아기의 생명을 놓쳤다.“저와 결혼해 주시면 황위를 찾아드리지요.”죽음에서 되돌아온 후 그녀는 복수를 위해 결혼 동맹을 제의했다.16년 전, 어리다는 이유로 비겁하게 외면했던 그녀의 약혼자에게."
S급 공무수행에 협조 부탁드립니다 [독점], 10년째 E급 헌터 공무원으로 살던 강하라(특성: (구) 망돌팬)는2차 각성의 기회를 얻는다.모든 헌터들이 만나길 갈망하는 ‘성좌’를 만난 것이다.‘드디어 나도 S급의 화려한 인생을 누리는 거야!’그런데 이 성좌가 좀 이상하다?“예? 뭘 해야 된다고요?”[퀘스트: ‘사랑의 작대기’‘강하라’와 ‘윤세헌’이 뽀뽀 안 하면 스킬 사용 불가♡]여기 남 연애시키는 ..
네가 죽기를 바랄 때가 있었다 [독점]," 크로이센의 황제 카를로이는 황후 이본느를 증오했다.하루 세 번쯤 그녀가 없어졌으면 좋겠다고 생각할 만큼.원수인 델루아 공작을 꼭 닮은 얼굴도 싫은데,아무리 모욕을 줘도 변함없이 무심하고 냉담한 성격은 더 끔찍했다.죽든, 사라지든 그저 제 눈에 띄지 않는다면 바랄 게 없을 것 같았는데.......소원이 이루어졌다.그가 그 소원을 더는 바라지 않을 때에."
전남편이 재결합을 요구합니다 [독점]," 소설 속 절륜한 백작님과의 원나잇은 꿈이 아니었다!지독한 패악질로 백작 남편에게 이혼당하고, 왕비 며느리를 괴롭히다 사형당하는 악녀 시어머니에게로 책빙의했다.뻔한 전개라도 죽을 순 없다. 생명은 소중하니까.‘해드리겠습니다! 그까짓 이혼!’얼른 이혼 확정 도장부터 찍었다.그다음엔 개과천선인가요?“웰컴 투 시월드!”여주인 며느리를 환대했다.마지막은 나가서도 잘.."
대가는 너희의 모든 것 [독점]," 모두가 날 싫어했다.아카데미 동급생들도, 입양된 가문의 가족들도, 심지어 정략 결혼한 남편조차. 그들을 위해 내 모든 걸 바쳤는데 돌아온 것은 언제나의 경멸과 배신이었다. “언니의 마지막을 보러 왔지요. 키우던 개가 죽는다는데, 주인이 봐 줘야 하지 않겠어요? 고맙지요?” 비참하게 살해당한 줄 알았는데 깨어나 보니 열두 살의 어린 시절로 돌아와 있었다. 이.."
정신을 차렸을 땐 흑막 주군이 감긴 후였다 [독..," ‘와, 진짜 만만하게 생겼네.’북부를 지키는 검이자, 냉철하고 완벽한 윌로우 공작.그런 공작의 아들이라고는 믿기 어려운 데미안의 해사한 미소에셀린은 실망감을 감추지 못했다.하지만 그가 어떤 사람이든,자신이 모셔야 할 윌로우 가문의 하나뿐인 후계자라는 것과주군을 지키는 것이 호위 기사가 될 자신의 도리라는 사실은 변하지 않기에.괜찮...... 괜찮아. 내가 더 유능.."
소공녀 민트 [독점]," 고아원에서 가장 초라한 소녀 민트. 온갖 학대를 받으며 괴로운 나날을 보내던 어느 날, 고아원에 젊은 신사가 나타난다. “이 아이는 내가 데려가겠다.” 민트의 후원자 된 남자는 대귀족 엘케도니아 대공이었는데.... ‘내가 정말 이곳에 있어도 되는 걸까?’ 고아 소녀에서 제국의 소공녀가 된 민트의 힐링&성장 로맨스!"
당신들이 왔을 땐 이미 늦었다 [독점]," 황제의 사생아, 이름뿐인 황녀였던 나는 전쟁영웅이었던 당신과 팔려가듯 결혼했다.당신은 내게 사랑이라는 감정을 알려주었다.그러나 당신은 내게 세상에서 가장 비참한 기분이 무엇인지 또한 알려주었다.당신이 나를 대한 것이 복수심에서 우러나온 거짓된 행동뿐이었다는 것을 알게 되었을 때, 그리고 그 여자가 저택에서 당신을 꼭 닮은 아이를 낳았을 때, 그 여자가 나를.."
미친개 도련님 만들기 [선공개]," 미친개한테 콱 물려버렸다. 평생, 어디로 도망도 갈 수 없게.전쟁의 영웅은 미친개였다.신관 디아린은 자신에게 배정된 이 미친개를 도련님으로 만들어 사교계 데뷔를 시켜야 했다. 그러나......도련님은커녕 사람 만드는 것부터가 문제였다.‘미친’, ‘놈’, ‘개새끼’ 세 가지를 다 가지고 있는 인간은 말로 한다고 되지 않았다.“진정해!”“가만히 있어!”디아린은 약속된.."
마른 가지에 바람처럼 [독점]," ""안녕. 요부.""카사리우스 백작은 역병에 걸려 급작스럽게 죽었다.그는 생전에 첩 삼으려던 영지의 아름다운 젊은 과부 리에타를 순장해달라는 유언을 남긴다.리에타가 순장당하기 직전, 잔혹한 폭군으로 알려진 악시아스 대공이 영지에 들이닥친다.카사리우스가 차일피일 상환을 미루던 막대한 빚을 돌려받기 위해.""이 자리에 있는 모두가 그녀를 딱하게 여기는 듯하고, 나는.."
멜빈이 그들에게 남긴 것 [독점]," 네우스 성의 귀한 아가씨, 셰릴. 어느 밤, 숙부의 반란으로 오라비가 살해당하고, 그녀 역시 죽임을 당할 위기에 처한다. 모든 걸 포기한 마지막 순간. 구원이 찾아왔다. “기어이 내 혼약자를 죽이고 싶다면. 네우스 성은 전쟁을 각오해야 할 거다.” 가짜 혼약을 앞세워 그녀를 구해준, 블레어의 성주. 펠릭스. 오라버니의 친구로만 알고 있던 그와의 낯선 결혼생.."
"아이가 있었는데요, 없었습니다 [독점]"," 임신은 했는데, 아이는 없습니다?임신이라니요?그것도 빙의한 책 속 남주의 아이를!엑스트라인 제가요?단 하룻밤이었다.기억은 나지 않지만, 아침 햇살이 드리운 침대엔 그가 있었다.분명한 건 아이의 아빠는 카시안이라는 거다.“결혼하고, 들어와서 살아.”어째 만족스럽지는 않지만 그는 기대했던 대답을 해 주었다.이혼......은 나중에 생각하고! 일단 소중한 이 아이를 지.."
계약직 대공비 [독점]," 여섯 번째 남편이 건넨 독을 마시고 황녀 리엔은 죽음을 맞이했다. “그대는 황제의 수단에 불과했어.” 다시 눈을 떴을 때는 다섯 번째 남편의 장례식날로 돌아와 있었다.리엔은 복수를 다짐했다. 그리고 그 복수를 위해 얼음보다 차갑고 잔혹한 대공, 클로시안을 찾아갔다. 3년간의 계약 결혼. 그리고 복수만을 위해 손을 잡은 남자. 그런데. “계약서의 존재는 잊으.."
내 가짜 남편이 너무 다정하다 [독점]," 거지같은 집구석 나와 혼자서 잘먹고 잘살고 있었는데 이게 웬걸?​연 끊은 집안에서 날아온 정혼서.돈 많은 자작에게 날 시집보내겠단다​절대 안돼!누구라도 잡아서 이 정략결혼을 피하고자 기사단에 있는 남자들을 다 찔러봤다.​""아 왜 아무도 안 해주는 건데!""""그 결혼 나랑하지.""모두에게 거절당한 채 머리를 쥐어 뜯고 있는데 대뜸 누가 청혼해왔다.그것도 내 상관.."
그 기사가 레이디로 사는 법 [독점]," 여자인 몸으로 나라를 지키고자 맹세한 기사 에스텔.최후의 전투 전날, 가장 믿었던 친구이자 부관에게 살해당했다.그러나 깨어나 보니 이곳은 적국 한복판,그녀는 아름다운 레이디 루시펠라가 되어 있었다.약골인 이 몸에 적응하는 것도 쉽지 않은데 약혼자가 적국의 장수라니!게다가 날 죽인 그놈은 왜 자꾸 얼쩡거린단 말인가!“이제 나를 바라볼 때도 되지 않았나?”“에.."
개쓰레기 공작이랑 누가 결혼해? [독점]," 이 소설에 빙의한 내가 한다.“나는 싸가지 없는 약혼녀가 필요합니다.” 흔한 클리셰대로 공작의 약혼녀가 되었...... 아니, 되기 위해 면접을 봤다.미친놈 아니야, 이거? 누가 약혼녀를 뽑으려고 면접을 봐?***한미한 남작 가문에서 낼 수 있는 최고의 아웃풋제국 최강의 권력과 부를 가진 에티카 공작가의 계약 약혼녀가 되었다.개쓰레기 공작이라는 별명까지 붙은 남자.."
공작 부인은 오늘만 산다 [독점]," 딸들이 단명하기로 유명한 하크본 백작 가의 마지막 남은 막내딸, 프리다.그녀는 황태후의 계략으로 황제의 의붓형 다니엘 리하르트 공작과 결혼하게 된다. 그러나 결혼식이 끝나자마자 전쟁터로 향했던 남편은 의식불명이 되어 돌아오고,아무짝에도 쓸모없는 산골짜기 공작령엔 제대로 된 농지조차 없다. 오늘 하루만 열심히 살아 보자며 버티길 3년, 거짓말처럼 남편 다니엘.."
눈먼 짐승의 목줄을 쥐었다 [독점]," 얼떨결에 눈먼 짐승의 목줄을 쥐게 되었다.제국 최고의 기사에서 나락으로 추락한 대공 일레온 클레벤트.로나는 생계형 비굴함을 장착하고 분노와 좌절에 사로잡힌 일레온을 다시 사람 구실 하게 만드는 데 성공한다.얼마 후, 로나는 가족을 찾게 되고 그의 곁을 떠나는데...믿을 수 없게도 눈을 뜬 일레온은 그녀를 찾기 위해 제국을 샅샅이 뒤지고 있었다.“영애. 우리 어.."
에덴의 밤 [선공개]," 하녀 데이나에게 세상은 빛과 온기로 가득한 낙원이었다.주인 아가씨의 약혼자, 시어도어 맥밀런이 나타나기 전까지는.데이나는 그의 장난감일 수밖에 없었다.그는 명령을 내리는 자였고, 그녀는 받드는 자였으니까.그는 가할 수 있었고 그녀는 피할 수 없었다.“저게 다 네가 한 짓이라고 하면 어떻게 될까. 특히 네가 주인이라고 부르는 그 녀석.” “그 녀석을 무슨 왕.."
남편의 첫사랑이 이혼했다 [독점], 또 돌아왔다. 남편에게 이혼 당하는 때로.벌써 열일곱 번째 이혼 통보. 남편의 대사는 언제나 똑같다.“아젤리아가 이혼했어. 그녀에게 가 봐야겠어.”아젤리아는 남편의 첫사랑이자 진심으로 사랑한 여인의 이름. 과거 가문의 반대로 놓친 사랑을 이제는 손에 넣을 거라고.남편이 오직 그녀만을 사랑했듯 나 역시 남편을 사랑했기에 회귀를 반복하는 동안 미련하게 매달리고..
악연인지 인연인지 [선공개]," 저주에 걸려 성기사 헬리오스 데페르트와 밤을 같이 보내야만 살 수 있는 몸이 됐다.하지만 치명적인 벽이 있었으니.첫째, 그녀는 그와 사이가 좋지 않다.둘째, 그는 그녀를 몹시 싫어한다.셋째, 그녀도 그를 매우 싫어한다.넷째, 그는 쓰레기다.엔야는 어떻게든 다른 방법을 구하려 했지만 정작 그는 침착하기 짝이 없었다.아니, 오히려 은근한 열기까지 묻어나는 눈으.."
악녀는 조용히 살고 싶을 뿐인데! [독점]," 책 속의 악녀에 빙의했다.사망 플래그만 없애고 조용히 살려는데,벌써 최종 흑막을 채찍질하고 심하게 괴롭혔단다. 내가 한 건 아니지만 책임감을 느끼고 잘해줬더니 흑막이 어딘가 좀 이상해졌다.“예전에 저한테 녹시아 아가씨를 없애달라 하셨죠?”“내가...... 그랬나?”“지금도 같은 마음이라면 제가 처리해드리겠습니다.”뭐? 나 때문에 여주를 죽이겠다고?저기, 이 소설 .."
검은 사슬 [독점]," 황제의 반려가 자살했다. 정확하게는 황제가 내린 비단으로 목을 매고 죽었다. 14년이나 충성하고 연모했으나 마음도, 황후자리도, 아무것도 보답 받지 못한 채.죽겠다 했는데, 이상하게 죽어지지가 않는다. 자꾸만 14년 전으로 돌아와서, 오만하고 커다란 남자와 마주하게 된다. “넌 내 반려가 맞다.”한 번도 들어본 적 없는 말을 너무나 손쉽게 하는 황제와 다시.."
108명의 그녀들 [독점]," “우리는 지금부터 시험을 볼 거야.”그녀의 목소리를 들으며 하트완은 멍하니 물었다.“시험?”고개를 끄덕인 그녀는 하트완을 꼭 감싸 안으며 시험 문제를 속삭였다.“당신이 사랑하는 게 내 껍데기가 아니라면, 나와 같은 얼굴을 한 108명의 여자들 사이에서 날 찾아봐.”-사랑하는 인간 남자를 위해 제국을 세워 주기까지 했으나 정작 그를 믿지는 못한 마녀 데사. .."
시한부 황후의 나쁜 짓 [독점][외전 추가]," 정략결혼이었지만 첫사랑이었다. 황제여서가 아니라 당신이어서 사랑했다.휠체어를 탄 몸으로 스텔라는 제국과 남편을 위해 헌신했다.그러나 돌아온 것은 처절한 죽음.여신은 사지가 마비되어 죽은 스텔라를 회귀시켰다.이번 생에서도 소꿉친구를 선택하는 남편을 보며,스텔라는 충동적으로 검투 노예를 거뒀다.자신을 14살이라 믿는 기억상실남. 혹은 상처 입은 짐승.“내가 주.."
감금당한 남주를 도와줬더니 집착남이 되었습니..," 연구소의 실험체로 잡혀온 남주에게 식사를 가져다주는 심부름꾼 아이로 빙의했다.실험이 성공해 남주가 힘을 얻으면 연구소는 불바다가 된다.그러니 그전에 도망가려고 했지만, 잔혹한 실험을 당하고 괴로워하는 남주가 안쓰러웠다.그래서 연구원들 눈을 피해 몰래 이것저것 챙겨줬다.“그러고 보니, 너 이름은 뭐야?”“이름 같은 거...... 없어.”“네가 지어줘.”“어?”어쩌다.."
"49번 남았습니다, 스승님! [독점]"," '내 제자가 회귀했단 걸 안다. 날 죽이고 싶어 한단 것도.' 요요화는 황제가 된 제자에게 살해당하기 전 듣는다. 그가 회귀했고, 과거에서 자신이 그를 여러 번 죽였단 걸. 그런데 죽었다 깨어나보니... 자신도 제자와 같이 회귀했다!아직 제자는 천덕꾸러기 13황자.그러나 제자의 압도적인 재능을 아는 요화는 결심한다. 저 미친놈한테 진짜 잘해주자. 나는 회귀.."
"후회하라고, 유혹하지 말고 [독점]"," “그만둘래요.”비비안은 10살, 루이스를 처음 만났던 그 해부터 지금까지 9년의 짝사랑을 그만두겠다 선언했다.물론 본심은 아니었다...“튕겨?”“그래. 도도하게 턱 치켜세우고 콧대를 내세우면서, ‘더는 당신을 사랑하지 않겠어요!’ 황태자는 후회하면서 구르고 구르다 내 마음을 받아 달라며 너에게 절절히 매달릴 거야.”비비안이 의심스러운 눈빛으로 한껏 도도하게.."
악녀인데 하필 남편이 잘생겼다 [독점]," 로판 속 악녀에 빙의했다. 근데 하필 날 쫓아낼 남편이 더럽게 잘생겼다. 하지만, “세드릭. 우리 이혼해요.” 잘생긴 건 난 모르겠고! 죽음을 맞이하는 순간, 다시는 서럽게 살지 않기로 다짐했기에 이혼을 결심했다. 그런데....“내가 왜 당신만 보면 이상해지는지 그대는 궁금하지 않습니까?” “흥분은 당신이 시켜놓고, 흥분하지 말라니.” ......남편이 이상하다..."
아이를 낳으면 죽는다 [독점]," 세러렛은 비극적인 첫 번째 인생을 끝냈다.남편이 선물한 독약을 먹고, 남편 내연녀의 비웃음을 들으며.인생의 마지막 순간, 세러렛은 마지막 소원을 빌었다.다시 태어난다면,절대 유안 프렉튜스터를 사랑하지 않겠다고.“나 과거로 돌아왔나 봐.”앳된 얼굴을 천천히 만져보며 중얼거리던 세러렛은회귀하자마자 지난 생을 불행으로 물들인 유안과 마주한다.세러렛은 분을 참지 .."
사라진 후에야 알게 되는 것 [독점]," 공작의 친구에서 숨겨진 정부로 전락한 엘리자베스 루아.그녀의 주인이자 예르헨 왕국의 젊은 공작, 키에른 아가펠.그는 그녀를 망가뜨리고 부수기를 주저하지 않았다.자비로운 군주의 모습으로 나타나 달콤한 학살자처럼 그녀의 몸과 마음을 할퀴고 너절하게 만들었다. 오직 그녀의 불행을 위해서 사는 사람처럼.그러던 어느 날, 정부는 죽었고 공작은 미쳐버렸다.그때까지만 .."
개는 주인이 필요하다 [선공개]," 에라블 버밀리언(23세)의 인생은 자주 차악으로 굴러가곤 했다. 최악보단 낫다고 빈번하게 정신 승리하는 삶!“날 아는 얼굴이네요?”책빙의 9년차, 주인공과는 절대 엮이지 않겠다고 다짐하며 살아왔지만.... 마침내 집으로 가는 길이 열린 그 순간. “영애, 군에 입대하시겠습니까?”주인공에게 걸렸다. 피해자의 규모를 알기 위해선 행정기관의 기록이 필요한 인간. 원.."
집착 남주의 유일한 안정제가 되었습니다 [선공..," “네, 네가 좋아!”BL 소설의 병약수로 빙의했다.이 소설의 유일한 가이드이자 안정제로.일단 당장 살아남는 게 문제였다.여기엔 실험체로 길러져 감정이 결핍된 집착 광공이 가득!이대로라면 한 놈이 연구소를 파괴하고 다같죽 엔딩 확정! 일단 살고 보자.“...뭐?”“네가 좋다고!”그가 미묘한 표정으로 나를 바라봤다.“난 남자야.”그렇지, 나 지금 남자 모습이었지....."
대공의 후회는 필요 없다 [독점]," “우리 거래에 아이는 없었다.”어두운 밤과 차가운 검의 지배자, 리카르도 비토레 대공.아르밀라가 완벽하고 아름다운 그를 사랑하게 된 건 당연한 일이었다. 그와 계약 결혼을 하게 될 때까지만 해도 아르밀라는 행복했다.하지만.......“저는 전하를 닮은 아이를 가지고 싶어요. 우리 아이를 가지고 싶다고요.”“내가 너무 잘해 줬나 보군. 주제를 알아야지.”“제가 부족.."
집착은 다정하고 집요하게 [선공개]," 그는 그녀의 다정한 노예였다.황량한 레그벨에서 외롭게 지내던 백작 영애, 시오아나. “에티엔, 내가 시키는 일은 모두 네가 하는 거야. 알았어?”처음 만났을 때 그는 그녀의 다정한 노예였다. 첫사랑, 첫 입맞춤, 둘만의 비밀 결혼식. 시오아나는 에티엔과 영원히 행복할 줄만 알았지만.......불행이 레그벨을 덮쳐오고,두 사람은 지독한 오해를 품고 헤어지게 된다. .."
"아니, 저는 황녀님만 꼬셨다니까요? [독점]"," 과로사로 쓰러진 뒤, 눈을 뜨고 일어나니 처음 보는 몸에 빙의했다.학대받고, 냉대받는 시한부 엑스트라 몸에.심정지로 죽는 운명 따위 순순히 받아들일 생각 없었다.“이대로 가다간 단명할 운명이라서. 보다시피 가진 게 없고, 당장 내 한목숨 부지하기도 바쁘거든. 백마력으로 목숨 좀 연명해볼 생각이야. 아, 겸사겸사 복수도 좀 하고.”흑막이 가져갈 힘을 가로채 .."
로또 황녀님 [독점]," [나는 환생과 회귀를 멋지게 한 아기를 만나고 싶단다. 한 번 더 살아볼 테냐?]1회차 인생에서 게임 유튜버였던 나,3회차에서는 아주 조그만 아기 황녀님이 되었다?잠깐만.신이 좋은 가문에 태어나게 해 준댔는데?왜 망한 황실의 황녀인 건데!그 순간 띠롱! 소리와 함께 눈앞에 채팅창이 떠올랐다.[ 일반 채널 내에 있는 인원 목록을 공개합니다.][.."
어느 날 폐황후가 도주했다 [독점], “일국의 황제라 하더라도 결국은 사내고 수컷이다. 여인이 작정하고 휘감는다면 못 구슬릴 것도 없지.”아버지의 명에 따라 황후가 되었다.허울뿐인 아내지만 그 역할에 최선을 다하고 싶었다.“내 아내로서의 역할이라 함은. 내 아래서 내 씨를 받아내고 아이를 배는 역할 말인가?”“.......”“그런 역할은 밤에 졸라야지. 이런 대낮이 아니라.”비록 돌아오는 것은 비웃음..
원작남주가 집착을 시작했습니다[선공개], 『감히 너 따위가 나에게 사랑을 고백하는 건가?』이리 말한 오만한 원작 남주는 그를 짝사랑하던 조연의 칼에 찔려 죽었다. 피폐 로판 소설 《공작가의 은밀한 유혹》하필 그 원작 소설의 악역 조연에 빙의한 에블린은 살인자가 될 운명에서 벗어나 안락한 2회차 인생을 노리는데....... ‘그래! 성격 나쁜 원작 남주를 갱생시켜 여주와 이어 준 뒤 안전하게 하차하자.’ ..
황제의 비서는 살아남고 싶습니다 [선공개], “곁에 있어줄 수는 없는 건가?”항상 무심했던 눈이 내 의견을 묻듯이 지긋하게 맞춰왔다.아련하면서 촉촉하게 물든 금안이 사직서를 내고 도망치려고 했던 내 정신을 옭아맸다.*악착같이 노력해서 황제의 비서가 되었다.큰 봉급을 차곡차곡 모아서 원하는 바를 이루고 편안한 노후를 보내고 싶었는데.문제는 황제가 소설 속의 사람을 죽이는 폭군황제라는 것이었다.초점 없이..
남편의 정부로 환생한 심정을 서술하시오 [독점..," 유리 몸 대공비였던 나는 심한 발작으로 목숨을 잃었다.아니, 잃은 줄 알았다.""......당신을 원해.""그리고 나와 똑같이 생긴 여자로 환생해버렸다.그런데 이 여자의 몸, 엄청 튼튼하잖아?건강한 몸을 얻은 기쁨도 잠시, 모두가 내게 이리 말한다.이 여자가 완벽한 내 남편의 ‘정부’라고.진실을 듣기 위해 찾아간 나의 장례식.나는 그곳에서 내 남편보다 더 세상이 무너.."
