제목,요약
전생했더니 슬라임이었던 건에 대하여," 후세 라이트노벨 『전생했더니 슬라임이었던 건에 대하여』제1권. 벨드라에게 ‘리무루’라는 이름을 부여 받고, 슬라임으로서 새로운 이세계 생활을 시작하자마자 고블린과 아랑족의 분쟁에 말려들면서, 어느샌가 몬스터들의 주인으로 군림하게 되는데....... 상대의 능력을 빼앗는 ‘포식자’와 세계의 이치를 알고 있는 ‘대현자’, 두 개의 유니크 스킬을 무기로 사용하는 최강의.."
책벌레의 하극상," 어릴 적부터 책에 푹 빠져 지내던 여대생이 사고에 휘말려 낯선 세계에서 다시 태어났다.가난한 군인의 집에서 5세 소녀 마인으로....... 게다가 그 세계에서 ‘문자’를 아는 사람들도 적고, 있는 책이라곤 귀족들을 위한 책뿐이었다.책을 아무리 읽고 싶어도 현실의 벽 앞에 부딪히게 된다. 이를 타개할 방법은...... 스스로 책을 만드는 것이다!책에 둘러싸여 살기 위해 책.."
납치 감금에서 시작되는 우리들의 사바트 [독점..," 평범한 고등학생으로 살며 운명적인 미소녀와의 만남을 꿈꾸던 소년. 하지만 완벽한 천재 학생회장님의 위험천만한 비밀을 알게 되면서 그 운명은 꼬여버렸다. 학교에 숨겨진 지하실, 아무도 모르는 신기한 감옥에서 시작되는 소년과 소녀의 기묘한 동거. 누구에게도 밝힐 수 없는 비밀 속에 그들은 오늘도 이야기를 나누는데...... 본격 감금연애청춘물, 개막!"
